frame,smile_vertical_asymmetry_norm,mouth_horizontal_asymmetry_norm,eye_horizontal_asymmetry_norm,general_symmetry_score_norm,facial_droop_flag,severity_score
aug_0_6382.jpg,0.4078,0.4118,0.5317,0.2961,1,90.52
aug_0_6386.jpg,0.3085,0.2111,0.432,0.3326,1,66.68
aug_0_639.jpg,0.4616,0.3719,0.6831,0.408,1,94.05
aug_0_6395.jpg,0.3296,0.3535,0.4938,0.2662,1,77.22
aug_0_6399.jpg,0.3703,0.3772,0.4965,0.3487,1,85.31
aug_0_6402.jpg,0.2368,0.2942,0.3816,0.2663,1,63.5
aug_0_6413.jpg,0.2231,0.1917,0.28,0.2015,1,50.11
aug_0_6417.jpg,0.1673,0.3754,0.3182,0.2366,1,60.66
aug_0_6427.jpg,0.1885,0.1994,0.3111,0.2195,1,48.44
aug_0_6435.jpg,0.2915,0.3968,0.543,0.4121,1,78.91
aug_0_6436.jpg,0.2305,0.2507,0.5661,0.3763,1,61.85
aug_0_6437.jpg,0.0995,0.0415,0.3213,0.1815,1,25.16
aug_0_6454.jpg,0.4805,0.418,0.6261,0.3851,1,98.05
aug_0_6458.jpg,0.3371,0.2987,0.6206,0.4438,1,76.12
aug_0_6466.jpg,0.3382,0.3911,0.4106,0.2622,1,80.63
aug_0_6474.jpg,0.297,0.3628,0.458,0.3084,1,76.91
aug_0_6477.jpg,0.1699,0.258,0.2208,0.1738,1,47.93
aug_0_6486.jpg,0.3087,0.3324,0.2176,0.1733,1,67.35
aug_0_6502.jpg,0.2417,0.1903,0.5168,0.3791,1,58.44
aug_0_6510.jpg,0.2276,0.2716,0.3383,0.2507,1,59.85
aug_0_6514.jpg,0.3355,0.4363,0.5163,0.2973,1,83.37
aug_0_6515.jpg,0.2371,0.1453,0.5716,0.4005,1,54.61
aug_0_6518.jpg,0.2594,0.2218,0.1983,0.1366,1,51.68
aug_0_6528.jpg,0.2362,0.2235,0.2473,0.1579,1,50.92
aug_0_6542.jpg,0.3581,0.382,0.4199,0.2543,1,81.41
aug_0_6544.jpg,0.2057,0.0827,0.2729,0.1941,1,39.71
aug_0_6593.jpg,0.0447,0.2622,0.0885,0.1282,1,32.68
aug_0_66.jpg,0.2712,0.2382,0.4472,0.2971,1,64.79
aug_0_6610.jpg,0.2883,0.3311,0.501,0.3224,1,73.67
aug_0_6613.jpg,0.292,0.4641,0.382,0.2677,1,77.05
aug_0_6623.jpg,0.2678,0.2588,0.4406,0.2764,1,64.63
aug_0_6646.jpg,0.2541,0.3844,0.3309,0.2345,1,69.87
aug_0_665.jpg,0.2409,0.2066,0.31,0.2323,1,55.07
aug_0_6654.jpg,0.2126,0.033,0.5299,0.3248,1,43.73
aug_0_6666.jpg,0.2884,0.2721,0.4306,0.282,1,68.05
aug_0_6686.jpg,0.1592,0.0506,0.531,0.3042,1,39.72
aug_0_6713.jpg,0.3115,0.331,0.6509,0.4653,1,75.97
aug_0_6726.jpg,0.1418,0.1438,0.3392,0.2495,1,41.6
aug_0_673.jpg,0.1547,0.348,0.3284,0.2298,1,56.89
aug_0_6733.jpg,0.1487,0.2302,0.3591,0.2836,1,51.04
aug_0_6743.jpg,0.0718,0.0786,0.2846,0.2127,1,27.26
aug_0_6756.jpg,0.1707,0.3102,0.3109,0.2206,1,55.04
aug_0_6757.jpg,0.2942,0.2826,0.6531,0.4664,1,70.62
aug_0_6764.jpg,0.4076,0.3626,0.7298,0.456,1,87.96
aug_0_6768.jpg,0.2663,0.1327,0.3631,0.2936,1,56.16
aug_0_6779.jpg,0.2484,0.2056,0.4746,0.3632,1,60.26
aug_0_6781.jpg,0.2931,0.3117,0.5506,0.41,1,72.69
aug_0_6788.jpg,0.3263,0.3836,0.503,0.2821,1,80.21
aug_0_6792.jpg,0.1456,0.2473,0.176,0.1431,1,42.64
aug_0_6814.jpg,0.1473,0.2605,0.1684,0.1416,1,43.7
aug_0_6822.jpg,0.271,0.3976,0.4621,0.2766,1,75.36
aug_0_683.jpg,0.3611,0.408,0.3957,0.2598,1,83.43
aug_0_6834.jpg,0.2193,0.038,0.268,0.206,1,38.52
aug_0_6857.jpg,0.2828,0.1805,0.4423,0.3065,1,61.82
aug_0_6890.jpg,0.3297,0.3866,0.5359,0.3627,1,81.97
aug_0_6893.jpg,0.3676,0.3924,0.6129,0.4186,1,86.19
aug_0_6903.jpg,0.2049,0.2106,0.4325,0.3271,1,56.28
aug_0_6909.jpg,0.3436,0.4581,0.3617,0.2668,1,82.15
aug_0_6945.jpg,0.3136,0.1884,0.3831,0.2817,1,64.27
aug_0_6964.jpg,0.1414,0.3471,0.3115,0.2372,1,55.99
aug_0_6967.jpg,0.3152,0.3097,0.5114,0.2978,1,74.6
aug_0_6992.jpg,0.3521,0.3778,0.499,0.3113,1,83.54
aug_0_7004.jpg,0.2806,0.2988,0.4622,0.2833,1,69.36
aug_0_7023.jpg,0.072,0.2211,0.0983,0.1231,1,31.99
aug_0_7034.jpg,0.2871,0.0602,0.6255,0.4172,1,53.22
aug_0_7035.jpg,0.2868,0.2122,0.4739,0.3363,1,64.6
aug_0_7041.jpg,0.302,0.0133,0.5075,0.3515,1,51.2
aug_0_7077.jpg,0.3306,0.3524,0.4717,0.3118,1,79.49
aug_0_7079.jpg,0.2404,0.1459,0.5602,0.3768,1,54.98
aug_0_709.jpg,0.3613,0.3949,0.4497,0.2891,1,85.02
aug_0_7107.jpg,0.1354,0.1255,0.2924,0.2223,1,37.76
aug_0_7108.jpg,0.2815,0.3923,0.4375,0.2952,1,77.25
aug_0_7125.jpg,0.2648,0.0927,0.3727,0.2875,1,52.6
aug_0_7143.jpg,0.2683,0.4853,0.3504,0.3096,1,76.83
aug_0_7161.jpg,0.4568,0.39,0.6022,0.3517,1,94.94
aug_0_7166.jpg,0.3621,0.5291,0.3202,0.3015,1,86.21
aug_0_7170.jpg,0.1356,0.0566,0.4066,0.303,1,37.81
aug_0_7190.jpg,0.2538,0.2783,0.3662,0.2286,1,61.49
aug_0_7208.jpg,0.1861,0.1565,0.4763,0.3621,1,50.35
aug_0_7217.jpg,0.2977,0.1199,0.6374,0.4492,1,58.77
